Read_Name	Origin_Gene	Mapped_Gene
Read61046	PKD1P1	PKD1P1
Read61047	PKD1P6	PKD1P6
Read61048	PKD1P5	PKD1P5
Read61049	PKD1P6	PKD1P6
Read61050	PKD1	PKD1
Read61054	PKD1P6	PKD1P6
Read61055	PKD1P6	PKD1P6
Read61057	PKD1P5	PKD1P5
Read61059	PKD1P4	PKD1P4
Read61060	PKD1	PKD1
Read61061	PKD1	PKD1
Read61064	PKD1P6	PKD1P6
Read61065	PKD1P6	PKD1P6
Read61066	PKD1	PKD1
Read61074	PKD1	PKD1
Read61075	PKD1P6	PKD1P6
Read61078	PKD1P5	PKD1P5
Read61079	PKD1P5	PKD1P5
Read61080	PKD1P6	PKD1P6
Read61085	PKD1	PKD1
Read61087	PKD1P6	PKD1P6
Read61088	PKD1	PKD1
Read61091	PKD1P2	PKD1P2
Read61093	PKD1	PKD1
Read61095	PKD1P2	PKD1P2
Read61101	PKD1P6	PKD1P6
Read61102	PKD1P6	PKD1P6
Read61103	PKD1	PKD1
Read61105	PKD1P5	PKD1P5
Read61106	PKD1P2	PKD1P2
Read61109	PKD1P6	PKD1P6
Read61110	PKD1P5	PKD1P5
Read61111	PKD1P3	PKD1P3
Read61112	PKD1P3	PKD1P3
Read61116	PKD1P2	PKD1P2
Read61117	PKD1	PKD1
Read61119	PKD1P6	PKD1P6
Read61120	PKD1P6	PKD1P6
Read61124	PKD1	PKD1
Read61126	PKD1P6	PKD1P6
Read61127	PKD1	PKD1
Read61128	PKD1P3	PKD1P3
Read61129	PKD1P2	PKD1P2
Read61131	PKD1P3	PKD1P3
Read61136	PKD1	PKD1
Read61140	PKD1P4	PKD1P4
Read61141	PKD1P5	PKD1P5
Read61145	PKD1P5	PKD1P5
Read61147	PKD1P5	PKD1P5
Read61148	PKD1P5	PKD1P5
Read61152	PKD1P5	PKD1P5
Read61154	PKD1	PKD1
Read61157	PKD1	PKD1
Read61158	PKD1P6	PKD1P6
Read61160	PKD1P6	PKD1P6
Read61162	PKD1	PKD1
Read61169	PKD1	PKD1
Read61170	PKD1	PKD1
Read61172	PKD1P4	PKD1P4
Read61175	PKD1P6	PKD1P6
Read61176	PKD1	PKD1
Read61177	PKD1P6	PKD1P6
Read61179	PKD1P1	PKD1P1
Read61180	PKD1P5	PKD1P5
Read61182	PKD1P3	PKD1P3
Read61186	PKD1	PKD1
Read61190	PKD1P6	PKD1P6
Read61191	PKD1	PKD1
Read61192	PKD1	PKD1
Read61194	PKD1	PKD1
Read61196	PKD1P6	PKD1P6
Read61197	PKD1	PKD1
Read61200	PKD1P5	PKD1P5
Read61203	PKD1P5	PKD1P5
Read61204	PKD1	PKD1
Read61206	PKD1P1	PKD1P1
Read61211	PKD1P2	PKD1P2
Read61212	PKD1P6	PKD1P6
Read61214	PKD1	PKD1
Read61215	PKD1	PKD1
Read61216	PKD1	PKD1
Read61219	PKD1P5	PKD1P5
